long,lat,order,hole,piece,id,group,oid_,name,folderpath,symbolid,altmode,base,clamped,extruded,snippet,popupinfo,shape_leng,shape_area,label,cartodb_id,created_at,updated_at,white_prop_1970,black_prop_1970,white_prop_1980,black_prop_1980,white_prop_1990,black_prop_1990,white_prop_2000,black_prop_2000,white_prop_2010,black_prop_2010
-78.90130188599994,35.97321842800005,18,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90310133399997,35.97357860400007,19,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90447913599995,35.97411623700003,20,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90437257599996,35.97449256600004,21,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90304155599995,35.97601920000005,22,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90186733699994,35.976566330000026,23,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90139968599993,35.97668344700003,24,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90003911899998,35.98069135500003,25,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.89943925199998,35.98253332500008,26,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90295824299994,35.98227103200003,27,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90326768199998,35.982419367000034,28,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.90345765599994,35.98272963800008,29,FALSE,1,21,21.1,0,C7,Durham.kml/Durham/Area C,2,0,0,-1,0,NA,NA,0.0412806855,5.806706e-5,C,18,2015-08-07,2015-08-07,0.0026832045382473475,0.9948239681491172,0,0.9331097796055587,0.005494728618258534,0.989836489476869,0.013009908621014562,0.9672184462066854,0.03184575422657376,0.9205723872088108
-78.91622486199998,36.01519623100006,1,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91586255199996,36.01976538500003,2,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91453863699996,36.01966757100007,3,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91362606299998,36.01779846300007,4,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91358815299996,36.017437494000035,5,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91263360099998,36.01719787900004,6,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91299109299996,36.01252568000007,7,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91758263399998,36.01265268700007,8,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91743201099996,36.01522095000007,9,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.91622486199998,36.01519623100006,10,FALSE,1,22,22.1,0,D1,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.02239736146,2.407173e-5,D,19,2015-08-07,2015-08-07,0.5367326400536733,0.4595773230459577,0.2857142857142857,0.35714285714285715,0.3983739837398374,0.5840821566110398,0.30879934210526316,0.5316611842105263,0.41613418530351437,0.3865814696485623
-78.89278003599998,36.00017287900005,1,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.89231525999996,36.002835463000054,2,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.89102399999996,36.002613557000075,3,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.89027648399995,36.00268966500005,4,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.88891346599996,36.00277820400004,5,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.88549092799997,36.00327044100004,6,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
-78.88473947199998,36.00334806500007,7,FALSE,1,23,23.1,0,D2,Durham.kml/Durham/Area D,3,0,0,-1,0,NA,NA,0.04303142333,7.756193e-5,D,20,2015-08-07,2015-08-07,0.2460579307984287,0.7518849497710868,0.14399569200189669,0.7981373780648858,0.12944315998252706,0.8679794452925256,0.11545354669120465,0.7227228154203067,0.1684449111481984,0.5924326161913669
